epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,5740.93,0.05132,0.11867,0.1025,0.09316,0.88994,0.99936,1,0.995,0.995,0.99881,0.99945,0.99481,0.98506,0.18113,0.09615,0.00594,0.26708,0.33356,0.0009308,0.0009308,0.0009308
29,5994,0.05227,0.12451,0.10228,0.09231,0.88693,0.99995,1,0.995,0.995,0.9994,0.99945,0.99489,0.98305,0.16885,0.09963,0.0083,0.29305,0.31687,0.0008912,0.0008912,0.0008912
30,6248.2,0.05057,0.124,0.10298,0.09114,0.8864,0.99991,1,0.995,0.995,0.99936,0.99945,0.99478,0.98517,0.17373,0.09475,0.00574,0.27336,0.317,0.0008516,0.0008516,0.0008516
31,6500.93,0.05011,0.12769,0.10428,0.09081,0.88593,0.99997,1,0.995,0.99468,0.99942,0.99945,0.99492,0.98421,0.16917,0.09016,0.00654,0.27665,0.29722,0.000812,0.000812,0.000812
32,6756.01,0.04925,0.11676,0.09859,0.08963,0.8863,0.99997,1,0.995,0.99495,0.99942,0.99945,0.99484,0.98307,0.14206,0.0958,0.00431,0.26733,0.27432,0.0007724,0.0007724,0.0007724
33,7008.24,0.04882,0.11243,0.09565,0.08703,0.88443,0.99997,1,0.995,0.99411,0.99942,0.99945,0.995,0.98705,0.15707,0.08841,0.00526,0.30597,0.29203,0.0007328,0.0007328,0.0007328
34,7262.32,0.04853,0.10396,0.09698,0.08601,0.88781,0.99997,1,0.995,0.995,0.99942,0.99945,0.99487,0.98444,0.16547,0.08651,0.00629,0.32231,0.32047,0.0006932,0.0006932,0.0006932
35,7514.51,0.04654,0.10373,0.09325,0.08744,0.88777,0.99997,1,0.995,0.995,0.99942,0.99945,0.99476,0.98522,0.15175,0.08143,0.00702,0.25634,0.27472,0.0006536,0.0006536,0.0006536
36,7768.49,0.04378,0.11062,0.09412,0.0832,0.88751,0.9998,1,0.995,0.995,0.99925,0.99945,0.99463,0.98703,0.14039,0.08206,0.0051,0.27616,0.28022,0.000614,0.000614,0.000614
37,8021.72,0.04356,0.0977,0.08987,0.0826,0.88809,0.99997,1,0.995,0.995,0.99942,0.99945,0.99499,0.9855,0.14073,0.07547,0.00396,0.25814,0.2801,0.0005744,0.0005744,0.0005744
38,8277.92,0.04371,0.09754,0.08939,0.08433,0.88823,0.99997,1,0.995,0.995,0.99942,0.99945,0.99467,0.98539,0.15257,0.07896,0.00272,0.29929,0.26394,0.0005348,0.0005348,0.0005348
39,8533.75,0.04071,0.0962,0.08805,0.07958,0.88237,0.99997,1,0.995,0.995,0.99942,0.99945,0.99486,0.98639,0.12951,0.07543,0.0025,0.2807,0.25797,0.0004952,0.0004952,0.0004952
40,8790.83,0.0408,0.09531,0.08647,0.0805,0.8851,0.99997,1,0.995,0.995,0.99942,0.99945,0.99453,0.98625,0.13645,0.07638,0.00667,0.27833,0.26671,0.0004556,0.0004556,0.0004556
41,9065.49,0.03204,0.11162,0.03859,0.05479,0.89661,0.99997,1,0.995,0.995,0.99942,0.99945,0.99493,0.99023,0.10416,0.06897,0.00381,0.23556,0.22905,0.000416,0.000416,0.000416
42,9322.17,0.02776,0.09154,0.03703,0.04087,0.89775,0.99997,1,0.995,0.995,0.99942,0.99945,0.9947,0.99013,0.13927,0.06769,0.00313,0.23876,0.26579,0.0003764,0.0003764,0.0003764
43,9574.85,0.02646,0.08031,0.03073,0.0389,0.89582,0.99997,1,0.995,0.995,0.99942,0.99945,0.99491,0.98972,0.1081,0.06505,0.00289,0.25191,0.23291,0.0003368,0.0003368,0.0003368
44,9829.86,0.02362,0.08088,0.02802,0.03425,0.89573,0.99997,1,0.995,0.995,0.99942,0.99945,0.99491,0.9903,0.10534,0.06302,0.00164,0.24576,0.22642,0.0002972,0.0002972,0.0002972
45,10083.5,0.02352,0.0748,0.02748,0.03324,0.89271,0.99997,1,0.995,0.995,0.99942,0.99945,0.99465,0.9891,0.10134,0.06168,0.00139,0.28861,0.21822,0.0002576,0.0002576,0.0002576
46,10334.7,0.02181,0.06979,0.0252,0.03126,0.89284,1,1,0.995,0.995,0.99945,0.99945,0.9948,0.9905,0.1041,0.05824,0.00159,0.21588,0.22865,0.000218,0.000218,0.000218
47,10586.7,0.01985,0.06614,0.0235,0.02897,0.89268,0.99997,1,0.995,0.995,0.99942,0.99945,0.99491,0.99089,0.11749,0.0561,0.00185,0.22084,0.24243,0.0001784,0.0001784,0.0001784
48,10842.3,0.01753,0.06577,0.02645,0.02596,0.89314,1,1,0.995,0.995,0.99945,0.99945,0.99493,0.99122,0.11065,0.05643,0.00113,0.23665,0.2328,0.0001388,0.0001388,0.0001388
49,11095.1,0.01612,0.06233,0.02491,0.02439,0.89498,1,1,0.995,0.995,0.99945,0.99945,0.99493,0.99135,0.11595,0.0582,0.00169,0.32932,0.23952,9.92e-05,9.92e-05,9.92e-05
50,11349.1,0.01522,0.05769,0.02226,0.02307,0.89173,0.99997,1,0.995,0.995,0.99942,0.99945,0.99488,0.99206,0.11625,0.05581,0.00166,0.31344,0.23803,5.96e-05,5.96e-05,5.96e-05
