epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3878,0,0,0,174.081,0,0,0,0,0,0,0,0,0,0,0,0,4.20793,0,2e-05,2e-05,2e-05
2,24.4606,0,0,0,99.1951,0,0,0,0,0,0,0,0,0,0,0,0,1.50832,0,5.8812e-05,5.8812e-05,5.8812e-05
3,35.6048,0,0,0,14.9223,0,0,0,0,0,0,0,0,0,0,0,0,7.18604,0,9.604e-05,9.604e-05,9.604e-05
4,46.9295,0,0,0,3.09587,0,0,0,0,0,0,0,0,0,0,0,0,11.0823,0,0.000131684,0.000131684,0.000131684
5,58.5988,0,0,0,1.23266,0,0,0,0,0,0,0,0,0,0,0,0,2.49641,0,0.000165744,0.000165744,0.000165744
6,70.3408,0,0,0,0.59833,0,0,0,0,0,0,0,0,0,0,0,0,0.28493,0,0.00019822,0.00019822,0.00019822
7,82.1653,0,0,0,0.28955,0,0,0,0,0,0,0,0,0,0,0,0,0.21567,0,0.000229112,0.000229112,0.000229112
8,93.7266,0,0,0,0.1858,0,0,0,0,0,0,0,0,0,0,0,0,0.02177,0,0.00025842,0.00025842,0.00025842
9,105.304,0,0,0,0.13438,0,0,0,0,0,0,0,0,0,0,0,0,0.03029,0,0.000286144,0.000286144,0.000286144
10,116.872,0,0,0,0.11745,0,0,0,0,0,0,0,0,0,0,0,0,0.02709,0,0.000312284,0.000312284,0.000312284
11,128.604,0,0,0,0.10149,0,0,0,0,0,0,0,0,0,0,0,0,0.01053,0,0.00033684,0.00033684,0.00033684
12,139.708,0,0,0,0.0887,0,0,0,0,0,0,0,0,0,0,0,0,0.01319,0,0.000359812,0.000359812,0.000359812
13,150.862,0,0,0,0.07828,0,0,0,0,0,0,0,0,0,0,0,0,0.02049,0,0.0003812,0.0003812,0.0003812
14,162.745,0,0,0,0.06546,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0.000401004,0.000401004,0.000401004
15,173.916,0,0,0,0.06259,0,0,0,0,0,0,0,0,0,0,0,0,0.01308,0,0.000419224,0.000419224,0.000419224
16,185.219,0,0,0,0.06053,0,0,0,0,0,0,0,0,0,0,0,0,0.01181,0,0.00043586,0.00043586,0.00043586
17,197.619,0,0,0,0.05002,0,0,0,0,0,0,0,0,0,0,0,0,0.04568,0,0.000450912,0.000450912,0.000450912
18,208.923,0,0,0,0.03774,0,0,0,0,0,0,0,0,0,0,0,0,0.02862,0,0.00046438,0.00046438,0.00046438
19,220.503,0,0,0,0.03353,0,0,0,0,0,0,0,0,0,0,0,0,0.02804,0,0.000476264,0.000476264,0.000476264
20,232.27,0,0,0,0.02669,0,0,0,0,0,0,0,0,0,0,0,0,0.05684,0,0.000486564,0.000486564,0.000486564
21,243.968,0,0,0,0.02373,0,0,0,0,0,0,0,0,0,0,0,0,0.07914,0,0.00049528,0.00049528,0.00049528
22,257.16,0,0,0,0.02251,0,0,0,0,0,0,0,0,0,0,0,0,0.07624,0,0.000502412,0.000502412,0.000502412
23,271.172,0,0,0,0.0228,0,0,0,0,0,0,0,0,0,0,0,0,0.05196,0,0.00050796,0.00050796,0.00050796
24,284.588,0,0,0,0.01964,0,0,0,0,0,0,0,0,0,0,0,0,0.04806,0,0.000511924,0.000511924,0.000511924
25,298.166,0,0,0,0.01693,0,0,0,0,0,0,0,0,0,0,0,0,0.05823,0,0.000514304,0.000514304,0.000514304
26,312.591,0,0,0,0.01414,0,0,0,0,0,0,0,0,0,0,0,0,0.09306,0,0.0005151,0.0005151,0.0005151
27,326.009,0,0,0,0.01341,0,0,0,0,0,0,0,0,0,0,0,0,0.15774,0,0.000514312,0.000514312,0.000514312
28,339.264,0,0,0,0.01398,0,0,0,0,0,0,0,0,0,0,0,0,0.15774,0,0.00051194,0.00051194,0.00051194
29,353.149,0,0,0,0.01437,0,0,0,0,0,0,0,0,0,0,0,0,0.03769,0,0.000507984,0.000507984,0.000507984
30,366.361,0,0,0,0.01359,0,0,0,0,0,0,0,0,0,0,0,0,0.01314,0,0.000502444,0.000502444,0.000502444
31,380.494,0,0,0,0.01188,0,0,0,0,0,0,0,0,0,0,0,0,0.01314,0,0.00049532,0.00049532,0.00049532
32,393.828,0,0,0,0.01137,0,0,0,0,0,0,0,0,0,0,0,0,0.01069,0,0.000486612,0.000486612,0.000486612
33,407.205,0,0,0,0.01037,0,0,0,0,0,0,0,0,0,0,0,0,0.01004,0,0.00047632,0.00047632,0.00047632
34,421.524,0,0,0,0.00902,0,0,0,0,0,0,0,0,0,0,0,0,0.01004,0,0.000464444,0.000464444,0.000464444
35,435.811,0,0,0,0.01003,0,0,0,0,0,0,0,0,0,0,0,0,0.01092,0,0.000450984,0.000450984,0.000450984
36,449.968,0,0,0,0.00939,0,0,0,0,0,0,0,0,0,0,0,0,0.00962,0,0.00043594,0.00043594,0.00043594
37,463.252,0,0,0,0.0103,0,0,0,0,0,0,0,0,0,0,0,0,0.00962,0,0.000419312,0.000419312,0.000419312
38,476.759,0,0,0,0.00867,0,0,0,0,0,0,0,0,0,0,0,0,0.00772,0,0.0004011,0.0004011,0.0004011
39,491.64,0,0,0,0.00738,0,0,0,0,0,0,0,0,0,0,0,0,0.0052,0,0.000381304,0.000381304,0.000381304
40,505.045,0,0,0,0.00622,0,0,0,0,0,0,0,0,0,0,0,0,0.0052,0,0.000359924,0.000359924,0.000359924
41,519.677,0,0,0,0.0089,0,0,0,0,0,0,0,0,0,0,0,0,0.00453,0,0.00033696,0.00033696,0.00033696
42,533.582,0,0,0,0.00666,0,0,0,0,0,0,0,0,0,0,0,0,0.00391,0,0.000312412,0.000312412,0.000312412
43,546.526,0,0,0,0.00493,0,0,0,0,0,0,0,0,0,0,0,0,0.00391,0,0.00028628,0.00028628,0.00028628
44,560.037,0,0,0,0.00488,0,0,0,0,0,0,0,0,0,0,0,0,0.00333,0,0.000258564,0.000258564,0.000258564
45,571.233,0,0,0,0.00489,0,0,0,0,0,0,0,0,0,0,0,0,0.00333,0,0.000229264,0.000229264,0.000229264
46,582.499,0,0,0,0.00479,0,0,0,0,0,0,0,0,0,0,0,0,0.00299,0,0.00019838,0.00019838,0.00019838
47,594.219,0,0,0,0.00438,0,0,0,0,0,0,0,0,0,0,0,0,0.00299,0,0.000165912,0.000165912,0.000165912
48,605.491,0,0,0,0.00404,0,0,0,0,0,0,0,0,0,0,0,0,0.00271,0,0.00013186,0.00013186,0.00013186
49,616.699,0,0,0,0.00415,0,0,0,0,0,0,0,0,0,0,0,0,0.00271,0,9.6224e-05,9.6224e-05,9.6224e-05
50,628.592,0,0,0,0.00428,0,0,0,0,0,0,0,0,0,0,0,0,0.00256,0,5.9004e-05,5.9004e-05,5.9004e-05
