epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2936.39,0.31041,0.48557,1.05302,0.8433,0.93575,0.95072,0.68802,0.87741,0.93597,1.40187,0.000664992,0.000664992,0.000664992
2,5857.02,0.30338,0.31552,1.04379,0.89446,0.88431,0.92719,0.82698,0.59553,0.60311,0.86477,0.00130529,0.00130529,0.00130529
3,8800.3,0.28475,0.28136,1.02222,0.98731,0.98245,0.99429,0.95821,0.27991,0.37269,0.5567,0.00191919,0.00191919,0.00191919
